Name,Category,Tourist_Level,Price_Range,Numerical_Price,Best_Season,Vibe,Description,Rating,VibeDescription,Suburb,place_id,image_url,Safety_Level
Water’s Edge Beach,Nature,2,Free,Free,Summer,"['Secluded', 'Secret', 'Calm']","Hidden beach accessed through a wooden gate, offering largely private swimming away from Boulders Beach crowds.",4.6,"Warm hush, a secret glow settles in, inviting calm where the world loosens its grip.",Simon's Town,ChIJJ9E_6lM_zB0RV8DE4YQjlA4,/images/venues/water-s-edge-beach-133a.jpg,normal
Ganesh,Food,2,R,From R90,All Year,"['Cozy', 'Authentic', 'Hidden']",A local gem in Observatory serving high-quality Thai street food.,4.4,"Warmth glows softly, inviting lingering, laughter, and a slow, delicious breath of escape.",Observatory,ChIJI3tRnwRdzB0R0QzFa2AbM5g,/images/venues/ganesh-e6d5.jpg,caution
Bali Beach,Nature,2,Free,Free,Summer,"['Hidden', 'Sheltered', 'Calm']","A small pebbled beach with sheltered, calm waters that even many locals don't know exists.",4.6,"Sun-dappled hush wraps you in a warm, intimate calm, a secret sanctuary for the soul to breathe easy.",Bakoven,ChIJvzLOAq9nzB0RqcxyYMvvKYM,/images/venues/bali-beach-d081.jpg,normal
Platboom Beach,Nature,2,R,R110-R515,Summer,"['Wild', 'Unspoilt', 'Deserted']","The most unchartered beach in Cape Point reserve, often home to wandering ostriches and baboons.",4.7,"Whispers of wild, sun-warmed air invite your heartbeat to slow and dreams to drift.",Cape Point,ChIJOY2vjcAizB0RIw2p8qzxnOI,/images/venues/platboom-beach-1330.jpg,normal
Majik Forest,Nature,2,Free,Free,All Year,"['Family', 'Tranquil', 'Local']",A community-focused nature experience in the Northern Suburbs with easy family trails.,4.6,"Sun-warmed hush and a gentle breeze invite a lingering, carefree moment.",Van Riebeeckshof,ChIJr_59q1NXzB0RT7DmLNBJnNw,/images/venues/majik-forest-7c2d.jpg,normal
Super Fisheries,Food,1,R,R75-R110,All Year,"['Original', 'Local', 'Authentic']","The reputed birthplace of the Gatsby, serving authentic polony and atchar rolls to local crowds in Athlone. (Recommended for locals or guided visits only.)",4.5,"Warm, electric hum wraps you in golden laughter, inviting you to stay a little longer.",Athlone,ChIJH4ejvLZczB0RhgIZTVuNM10,/images/venues/super-fisheries-3082.jpg,high
Pahari African Restaurant,Food,2,RR,R200,All Year,"['Hearty', 'Authentic', 'Zim']",Savor traditional Zimbabwean dishes like pumpkin leaves and pap in Salt River.,4.6,"Warmth pulses, a glowing welcome where laughter lingers and the air hums with invitation.",Salt River,ChIJ_RfGQghdzB0R7yy2cBLheaM,/images/venues/pahari-african-restaurant-e2a9.jpg,caution
Woolley’s Tidal Pool,Nature,1,Free,Free,All Year,"['Nature', 'Ocean', 'Hidden']",Hidden gem between Kalk Bay and Clovelly that remains quiet due to its unmarked road access.,4.4,"Sun-warmed hush, a molten sea sigh inviting a lingering, tender reverie.",Kalk Bay,ChIJhej3_xNAzB0ROesPBGWzQGk,/images/venues/woolley-s-tidal-pool-7f32.jpg,normal
Papa Ron’s Shisa Nyama,Food,2,R,R100-R200,All Year,"['Urban', 'Grungy', 'Welcoming']",Authentic Woodstock spot where you select and weigh your meat before it's grilled to perfection.,4,"Warm, smoky pulse and bold welcome wrap you in a gritty, cozy energy.",Woodstock,ChIJl6aDLaBdzB0R8w_LoKmGdHU,/images/venues/papa-ron-s-shisa-nyama-bc60.jpg,caution
Continental Take-Aways,Food,2,R,R90-R160,All Year,"['Grungy', 'Lively', 'Unique']","Salt River gem with disco lighting and a giant fish tank serving massive, designer gatsbys.",4.1,"Neon hum, gritty warmth, and a fearless buzz drawing you into the night.",Mowbray,ChIJ7S98HQldzB0RJ5r9UinG-Xo,/images/venues/continental-take-aways-dfa8.jpg,caution
